LOCAL	DATA DA IMPLANTAÇÃO	BOTOEIRA
 Dante Ângelo Pilla x Def. Nº385 	03/04/2000	3
 Av. Cavalhada x Inst. Santa Luzia 	21/06/2000	4
 Eduardo Prado x Def. Nº349 	17/09/2001	4
Dom Pedro II x Américo Vespúcio 	30/07/2005	2
 Praia de Belas x Pão dos Pobres	01/12/2007	2
 Riachuelo x Borges de Medeiros 	21/12/2007	2
 Sen. Salgado Filho x Borges de Medeiros 	27/12/2007	2
 Rodoviária Municipal x def. Hotel Continental 	14/02/2008	2
 Cavalhada x Cidade de Deus 	01/07/2008	4
 Siqueira Campos x Borges de Medeiros	08/07/2008	2
 Siqueira Campos x Uruguai 	10/07/2008	2
 Júlio de Castilhos x Terminal Parobé(Largo Visc. Cairú) 	10/07/2008	2
Júlio de Castilhos x Dr. Flores 	13/01/2009	2
 Assis Brasil x Fernando Ferrari(Vonpar) 	03/02/2009	4
Orfanotrófio x Ritter dos Reis 	18/02/2009	2
 Oswaldo Aranha x Paulo Gama 	01/07/2010	2
 Sarmento Leite x def. nº 320 - Fac. Eng. Mecânica 	01/07/2010	2
 Borges de Medeiros x Siqueira Campos 	11/08/2010	7
 Protásio Alves x Vicente da Fontoura 	07/09/20010	7
Bento Gonçalves x Marista 	10/07/2010	4
 Mauá x Padre Tomé 	04/12/2013	2
Juca Batista x def. nº 1684 	04/12/2012	4
 Francisco Trein x Hospital Conceição 	04/12/2012	2
Otávio Rocha x Dr. Flores 	12/01/2013	2
 Ipiranga x Azenha 	19/01/2013	6
 Azenha x P5 CB Est. Castelo 	22/02/2013	4
 Av. João Pessoa x Col. Inacio Montanha 	06/03/2013	4
 Av.Bento Gonçalves nº1820(Verissimo Rosa) 	26/04/2013	2
Augusto de Carvalho x Otávio Francisco Caruso 	13/11/2013	2
Av.Ipiranga 1090 - colegio Protasio Alves 	18/12/2013	2
Av. Ipiranga - em frente a Zero Hora 	18/12/2013	2
Av.Bento Gonçalves B/C x Est.Herrman 	20/12/2013	2
Av. Bento Gonçalves C/B x Est. Hermann 	20/12/2013	2
Av.Borges de Medeiros x Jeronimo Coelho	02/01/2014	5
Rua Prof.Annes Dias x Praça Dom Feliciano 	02/01/2014	4
Av.Cristovão Colombo x Rua Ernesto Alves em frente ao shopping Total	31/01/2014	4
Av. Cristóvão Colombo - em frente ao Colégio Batista 	27/02/2014	4
Av. Aureliano Fig. Pinto, 80 - em frente ao Ministério Público 	24/06/2014	4
Av. Wenceslau Escobar x Rua Pereira Passos 	15/07/2014	4
Av. Wenceslau Escobar x Rua Almirante Câmera 	15/07/2014	4
Av. Nilo Peçanha x Av. Carlos Gomes 	11/09/2014	4
